Time,electricity_production,heat_production,fuel_consumed,heat_to_elec,electrical_efficiency,thermal_efficiency,fuel_blend_ng,fuel_blend_h2,fuel_blend_biomass,fuel_energy,invest_h2,invest_time,active_h2_blending,invest_eb,invest_time_eb,active_eb,heat_to_plant,elec_to_plant,useful_heat,useful_elec,purchased_electricity,heat_stored,heat_withdrawn,heat_over_production,electricity_over_production,ramp_rate,refrigeration_produced,heat_used_for_cooling,elec_used_for_cooling,co2_emissions,total_emissions_per_interval,carbon_credits,credits_purchased,credits_earned,credits_sold,exceeds_cap,credits_held,emissions_difference,credits_used_to_offset,below_cap,invest_ccs,invest_time_ccs,active_ccs,transport_cost,captured_co2,uncaptured_co2,ccs_energy_penalty,total_fuel_co2_active_ccs
0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0,1.0,1.0,-0.0,0.0,0.0,-0.0,0.0,15541.974272403117,0.0,0.0,0.0,1701.312961396222,0.0,31294.998732078308,0.0,0.0,5000,422.1003745441492,211.0501872720746,0.0,0,25206.95141726018,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,450.0,0.0,0.0
1,1706.2535896061124,6825.01435842445,9100.019144565933,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,0.0,6773.010809165979,1531.135616410723,6825.01435842445,1706.2535896061124,0.0,0.0,0.0,0.0,0.0,5000,383.1321702292737,104.00709851694218,175.11797319538934,0,25206.95141726018,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2270.0038289131867,0.0,0.0
2,1948.4145611258034,7793.658244503214,10391.544326004285,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,0.0,7751.677155723652,1691.3121732716932,7793.658244503214,1948.4145611258034,0.0,0.0,0.0,0.0,0.0,5000,425.0267429723576,83.96217755912372,257.1023878541102,0,25206.95141726018,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2528.308865200857,0.0,0.0
3,1888.3708149427055,7553.483259770822,10071.311013027762,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,0.0,7513.250841385487,1640.2190597212575,7553.483259770822,1888.3708149427055,0.0,0.0,0.0,0.0,0.0,5000,409.08142876278765,80.46483677066989,248.15175522144787,0,25206.95141726018,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2464.2622026055524,0.0,0.0
4,1896.1162886702805,7584.465154681122,10112.620206241496,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,0.0,7527.98355241038,1698.116421971724,7584.465154681122,1896.1162886702805,0.0,0.0,0.0,0.0,0.0,5000,423.9262757815237,112.96320454148368,197.99986669855636,0,25206.95141726018,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2472.524041248299,0.0,0.0
5,1728.90846608109,6915.63386432436,9220.84515243248,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,0.0,6836.26413671245,1638.2174333487424,6915.63386432436,1728.90846608109,0.0,0.0,0.0,0.0,0.0,5000,408.1699431799885,158.73945522382039,90.69103273234771,0,25206.95141726018,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2294.169030486496,0.0,0.0
6,1293.1740403841595,5172.696161536638,6896.928215382184,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,0.0,5083.682863566916,1293.1740403841595,5172.696161536638,1293.1740403841595,135.12318545662765,0.0,0.0,0.0,0.0,5000,356.05319187888887,178.02659593944443,0.0,0,25206.95141726018,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,1829.3856430764367,0.0,0.0
7,1446.3677429048003,5785.470971619201,7713.961295492268,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,0.0,5684.824213126743,1446.3677429048003,5785.470971619201,1446.3677429048003,169.96956423330766,0.0,0.0,0.0,0.0,5000,402.5870339698306,201.2935169849153,0.0,0,25206.95141726018,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,1992.7922590984535,0.0,0.0
8,1331.1381459485237,5324.552583794095,7099.403445058793,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,0.0,5227.169374801616,1331.1381459485237,5324.552583794095,1331.1381459485237,230.21332566122965,0.0,0.0,0.0,0.0,5000,389.53283596991673,194.76641798495837,0.0,0,25206.95141726018,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,1869.880689011759,0.0,0.0
9,1484.0011160299296,5936.004464119718,7914.672618826291,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,0.0,5830.414781747645,1484.0011160299296,5936.004464119718,1484.0011160299296,215.00137708123543,0.0,0.0,0.0,0.0,5000,422.35872948829456,211.17936474414728,0.0,0,25206.95141726018,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2032.9345237652583,0.0,0.0
10,1497.4068521846734,5989.627408738694,7986.169878318258,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,0.0,5886.931598544958,1497.4068521846734,5989.627408738694,1497.4068521846734,145.75682617233042,0.0,0.0,0.0,0.0,5000,410.78324077494017,205.39162038747008,0.0,0,25206.95141726018,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2047.2339756636518,0.0,0.0
11,1658.569161667213,6634.276646668852,8845.70219555847,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,0.0,6528.48179041046,1658.569161667213,6634.276646668852,1658.569161667213,32.32247099382357,0.0,0.0,0.0,0.0,5000,423.1794250335657,211.58971251678284,0.0,0,25206.95141726018,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2219.140439111694,0.0,0.0
12,1786.983238242089,7147.932952968356,9530.577270624475,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,7065.28487455842,1693.1102597798938,7147.932952968356,1786.983238242089,0.0,0.0,0.0,0.0,0.0,5000,424.46529210194126,165.29615681987303,93.8729784621952,0,27629.134082749824,2519.1340827495187,0,7.876951713114977e-08,0.0,0,7.846392691135406e-08,0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,2451.4212268311394,0.0,0.0
