hour,electricity_production,heat_production,refrigeration_produced,purchased_electricity,heat_stored,electrical_efficiency,thermal_efficiency,carbon_credits,fuel_blend_ng,fuel_blend_h2,fuel_blend_biomass,model_cost
0,0.031296205751831924,0.1251848230073277,0.5007392918581767,1.1397321229056285,0.0,,,0,0,0,0,2729987.098184517
1,0.029540565912702217,0.11816226365080887,0.4726490521065321,1.327836042143449,2.4000739215223817e-10,,,0,0,0,0,2729987.098184517
2,0.026673700745004626,0.1066948029800185,0.4267792107554851,1.021662459159227,3.129098327407253e-10,,,0,0,0,0,2729987.098184517
3,0.022837550282803334,0.09135020113121334,0.3654008037428897,1.1543034406496697,3.3786769557490765e-10,,,0,0,0,0,2729987.098184517
4,0.027448525555400394,0.10979410222160157,0.4391764078335053,1.2490678881630728,3.884484685346165e-10,,,0,0,0,0,2729987.098184517
5,0.030697848316347226,0.1227913932653889,0.4911655724643742,1.4603901383246938,3.8730826439290455e-10,,,0,0,0,0,2729987.098184517
6,0.028709761290183627,0.11483904516073451,0.4593561797625408,1.641838289909006,4.124864425556198e-10,,,0,0,0,0,2729987.098184517
7,0.0354021306721952,0.1416085226887808,0.5664340883081233,1.7533292526465856,6.105130867170735e-10,,,0,0,0,0,2729987.098184517
8,0.032062763538223085,0.12825105415289234,0.5130042157506088,2.2810127669245843,6.196345053654191e-10,,,0,0,0,0,2729987.098184517
9,0.03284128523846681,0.13136514095386723,0.5254605625231527,2.4536041722612434,6.735060278592465e-10,,,0,0,0,0,2729987.098184517
10,0.03355369000054444,0.13421476000217775,0.5368590389898478,3.1262925343054855,6.945123391073571e-10,,,0,0,0,0,2729987.098184517
11,0.030913531401615034,0.12365412560646014,0.494616501575246,3.0278287142970677,6.965139768319234e-10,,,0,0,0,0,2729987.098184517
12,0.0399047942952194,0.1596191771808776,0.638476707817313,3.2922289340167983,7.035025107881924e-10,,,0,0,0,0,2729987.098184517
13,0.0391354711299932,0.1565418845199728,0.6261675374896523,3.4252777716972154,6.792595705806055e-10,,,0,0,0,0,2729987.098184517
14,0.0453197626391266,0.1812790505565064,0.725116201041809,3.4357950022348978,7.151689951160541e-10,,,0,0,0,0,2729987.098184517
