Year,TotalCost
0,-15674747.61890785
1,-15714276.690140516
2,-15713404.616246983
3,-15717449.478589706
4,-15708813.271702869
5,-15715264.345557744
6,-15714111.856371388
7,-15723390.518104192
8,-15721621.622230776
9,-17055053.856328033
10,-17053849.8842339
11,-17047893.655874755
12,-17052923.575805288
13,-17052279.67778641
14,-17048114.48970974
15,-17051329.135813024
16,-17049325.084147055
17,-17049701.779567186
18,-17042911.161719006
19,-17055423.312148966
20,-17049152.857009485
21,-17053600.219423585
22,-17052750.670394767
23,-17047398.530172497
24,-17052825.66227703
25,-17050435.272345167
26,-17048961.021129563
27,-17051481.728150964
28,-17057001.97507012
29,-17049278.6728576
